"","Date.and.Time..UTC.","Transmitter","Receiver","Transmitter.Name","Transmitter.Serial","Sensor.Value","Sensor.Unit","Statione.Name","Latitude","Longitude","Transmitter.Type","Sensor.Precision"
"132","2024-07-29 18:45:31.077714","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","2024-07-29 18:45:36.077833","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","2024-07-29 18:46:06.077645","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","2024-07-29 18:46:11.077351","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","2024-07-29 18:46:26.078134","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","2024-07-29 18:46:36.079226","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","2024-07-29 18:47:26.081085","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","2024-07-29 18:47:31.080456","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","2024-07-29 18:50:31.083982","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","2024-07-29 18:51:11.084703","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","2024-07-29 18:51:26.084723","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","2024-07-29 18:51:36.084381","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","2024-07-29 18:51:41.084453","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","2024-07-29 18:51:46.084344","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","2024-07-29 18:52:21.084258","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","2024-07-29 18:52:36.08466","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","2024-07-29 18:52:46.084989","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","2024-07-29 18:52:51.085231","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","2024-07-29 18:53:51.087326","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","2024-07-29 18:54:11.086978","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","2024-07-29 18:54:51.087271","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","2024-07-29 18:54:56.086916","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","2024-07-29 18:58:01.092331","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","2024-07-29 18:59:41.094965","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","2024-07-29 18:59:56.094863","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","2024-07-29 19:00:11.094273","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","2024-07-29 19:00:21.09387","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","2024-07-29 19:00:31.093694","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","2024-07-29 19:01:11.094232","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","2024-07-29 19:01:16.094245","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","2024-07-29 19:01:21.094271","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","2024-07-29 19:03:28.996063","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","2024-07-29 19:04:58.997071","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","2024-07-29 19:08:29.624368","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","2024-07-29 19:09:26.50001","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","2024-07-29 19:11:21.107296","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","2024-07-29 19:11:26.106652","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","2024-07-29 19:11:31.106419","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","2024-07-29 19:11:46.106668","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","2024-07-29 19:11:51.106879","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","2024-07-29 19:12:06.107174","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","2024-07-29 19:12:16.107244","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","2024-07-29 19:12:21.107377","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","2024-07-29 19:12:41.107685","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","2024-07-29 19:12:46.107803","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","2024-07-29 19:12:51.107952","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","2024-07-29 19:12:52.752248","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","2024-07-29 19:12:56.10801","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","2024-07-29 19:13:01.108098","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","2024-07-29 19:13:21.108543","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","2024-07-29 19:13:46.109091","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","2024-07-29 19:14:16.109498","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","2024-07-29 19:14:36.109896","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","2024-07-29 19:14:41.11","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","2024-07-29 19:14:46.110118","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","2024-07-29 19:14:51.110207","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","2024-07-29 19:15:01.110505","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","2024-07-29 19:15:06.110578","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","2024-07-29 19:15:16.110479","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","2024-07-29 19:15:21.11098","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","2024-07-29 19:15:26.11119","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","2024-07-29 19:21:46.121493","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","2024-07-29 19:24:51.510131","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","2024-07-29 19:35:25.889345","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","2024-07-29 19:36:27.140017","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","2024-07-29 19:37:33.390747","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","2024-07-29 19:39:32.767561","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","2024-07-29 19:41:42.76848","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","2024-07-29 19:42:16.518828","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","2024-07-29 19:43:50.89488","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","2024-07-29 19:45:56.521197","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","2024-07-29 19:47:22.772158","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","2024-07-29 19:47:55.897493","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","2024-07-29 19:48:27.147864","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","2024-07-29 19:50:30.274176","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","2024-07-29 19:51:03.399586","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","2024-07-29 19:54:03.401525","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","2024-07-29 19:54:37.151887","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","2024-07-29 19:54:51.154552","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","2024-07-29 19:54:56.15464","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","2024-07-29 19:55:06.154846","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","2024-07-29 19:55:09.652255","H170-1802-62358","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","2024-07-29 19:55:11.154889","H170-1802-62360","HR2-180-461356",NA,NA,NA,NA,NA,NA,NA,NA,NA
